codes,description,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
10180,"Abilene, TX",0.2543410974974852,0.2543410974974852,0.14380972593051894,0.14380972593051894,0.17561697712683658,4.156715590256278e-5,43
10420,"Akron, OH",0.30440384130987796,0.2146452373960599,0.11686756705980955,0.07227252857759432,0.03131428811504413,1.4458976064296981e-4,161
10580,"Albany-Schenectady-Troy, NY",0.21624444471635704,0.15109282086955364,0.0887458863284998,0.043928440721140334,0.09558094359018204,2.121853751772262e-4,232
10740,"Albuquerque, NM",0.26803511014418624,0.14231992803589474,0.10530720278801348,0.09486178841547217,0.07131959504917149,2.1564137140050023e-4,915
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.46600135379971597,0.31655018055201023,0.26933354223684236,0.21356694763426462,0.15433412273903818,2.201573240872562e-4,234
11100,"Amarillo, TX",0.33107833982017804,0.23982556877260147,0.10890527460609134,0.01820644130581516,0.03332947052983813,7.447683404846373e-5,79
11460,"Ann Arbor, MI",0.3202043597847108,0.11191429887402596,0.07514421826421959,0.049571709466819096,0.11806407747407983,9.815023105193963e-5,111
11540,"Appleton, WI",0.19196773598843306,0.19196773598843306,0.19196773598843306,0.19196773598843306,0,1.993732278786978e-5,23
11700,"Asheville, NC",0.31976420088087226,0.2811043486685829,0.18588325473072984,0.08801460380035477,0.08008929859039307,1.4246590815035137e-4,163
12020,"Athens-Clarke County, GA",0,0,0,0,0,2.022270856654687e-5,24
12060,"Atlanta-Sandy Springs-Roswell, GA",0.2638674957832017,0.17374460380468124,0.09682590623126036,0.07149148944266176,0.07230008675837345,0.0010840955549832549,1112
12100,"Atlantic City-Hammonton, NJ",0.22463129873523227,0.2077507265176153,0.0746165164812746,0.020084085517385362,0.14828672818767186,5.950780821287506e-5,60
12220,"Auburn-Opelika, AL",0.28500930235492694,0.2580444210376451,0.17202562516901057,0.17202562516901057,0.06851140384162592,3.346725355933774e-5,66
12260,"Augusta-Richmond County, GA-SC",0.4227277626486779,0.3848325721226727,0.32804524020162446,0.2726761150918723,0.08945441739190756,1.1800924387894295e-4,147
12420,"Austin-Round Rock, TX",0.25055836200410714,0.20354769386708785,0.10784755274001781,0.07649507807253607,0.03867786087408722,2.9492310825426525e-4,300
12540,"Bakersfield, CA",0.3042849557840203,0.21306518683846248,0.03560896504258602,0.00659955813965103,0.031239615433438613,1.272580409602368e-4,135
12580,"Baltimore-Columbia-Towson, MD",0.24259850715773495,0.1869843698581089,0.11436347823582484,0.07661544871334862,0.10347487717618803,8.009138914323966e-4,824
12620,"Bangor, ME",0.16316492307945876,0.11314483934596456,0.0798497843050986,0.02176983899468959,0.013650792541564276,4.247229344509836e-5,131
12700,"Barnstable, MA",0.1752941815417549,0.1378901536630187,0.1378901536630187,0.1378901536630187,0.1633509742056768,4.870296263459705e-5,70
12940,"Baton Rouge, LA",0.4460989866583337,0.3578830023336631,0.31507209928282665,0.20079190857170018,0.16284592816252852,1.608300295239516e-4,382
12980,"Battle Creek, MI",0.15992777602545946,0.15992777602545946,0.06264703544032768,0,0.0972807405851318,3.7775312610342916e-5,44
13140,"Beaumont-Port Arthur, TX",0.5189874786396285,0.3645029279237109,0.3487678721474171,0.17699639547573778,0.2376980885142775,6.635147973961923e-5,72
13460,"Bend-Redmond, OR",0.24820122452447668,0.15110848254562267,0.15110848254562267,0.15110848254562267,0.06023537123866193,7.823865105225114e-5,144
13740,"Billings, MT",0.27610514711684064,0.24222520060737932,0.16083932923295244,0.11448736755875287,0.06231182961338427,4.93375859634632e-5,422
13780,"Binghamton, NY",0.41624243519618065,0.317998830203179,0.21086501627722448,0.1745945291361095,0.11354582257507657,1.550449642287717e-4,170
13820,"Birmingham-Hoover, AL",0.33077684275138547,0.24243715417974093,0.18377935851157004,0.1374261591189619,0.13637747405862302,3.517643126035138e-4,723
13980,"Blacksburg-Christiansburg-Radford, VA",0.5158005541269425,0.4213088311692846,0.34459472907873884,0.23931610420874216,0,3.351880689259767e-5,36
14010,"Bloomington, IL",0.5274064375113721,0.45635468953496955,0.08591229850444379,0,0,3.400432948472688e-5,42
14020,"Bloomington, IN ",0.46595892650568027,0.3996199745060739,0.3122276595659742,0.3122276595659742,0.0288826554751071,4.233377457345945e-5,53
14260,"Boise City, ID",0.2708951102149561,0.1846014481689092,0.12166871365737218,0.09499139087416439,0.029594711050763976,1.1662905735943396e-4,554
14460,"Boston-Cambridge-Newton, MA-NH",0.22258006755688878,0.15992284661526543,0.12626606433367107,0.07738606973523905,0.03953826434276403,0.0013848666433014989,2385
14500,"Boulder, CO",0.513080845479959,0.3380566115478363,0.22906321199481533,0.10969927775080741,0.09888002564828027,6.40962298547076e-5,67
14540,"Bowling Green, KY",0.2898695065930977,0.08047457618284289,0,0,0,3.1505990356462254e-5,41
14860,"Bridgeport-Stamford-Norwalk, CT",0.23947246881996562,0.20447812252445619,0.1215059377505997,0.1000416379980568,0.019396513025527227,1.788031767583578e-4,236
15180,"Brownsville-Harlingen, TX",0.3207210541921015,0.2592381450075232,0.05385636875616964,0.03654684416481683,0.017309524591352814,5.315743919062539e-5,54
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.21552752782038923,0.17449575681154006,0.11479353743839008,0.10023162661726175,0.15051008641245894,2.690630303696529e-4,287
15500,"Burlington, NC",0.18092959268196382,0.045493397292592205,0.045493397292592205,0.028061276730414787,0.03295027176564265,9.647592819454484e-5,109
