metro,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
Central city,0.23713522560502778,0.13598918463308055,0.09806053236644616,0.07077511629297646,0.05700973325127111,0.5524942791977432,727886
Outside central city,0.27101265835032357,0.1716554026166063,0.12225157290764378,0.0881747025507678,0.04443156827531436,0.8962468237676202,1191436
Not in metro area,0.26819607685977886,0.17213171950233697,0.12100662953469198,0.08935947200177834,0.05124265127700517,0.2521538099201811,573801
Central city status unknown,0.2626558008434821,0.1725457480102984,0.12138318309135634,0.08721653940154828,0.04924655549930502,0.2575013434514295,497601
Not identifiable,0.31788262653733557,0.1958966761777798,0.12902586611303202,0.08985907312873084,0.05744856477238127,0.015618124622298956,30742
