occ,statecensus,Fraction of Workforce,description
3850,59,3.24e-4,Police and sheriff's patrol officers
4600,59,3.32e-4,Child care workers
4120,59,1.09e-4,"Food servers, nonrestaurant"
2300,59,2.19e-4,Preschool and kindergarten teachers
4820,59,9.6e-5,"Securities, commodities, and financial services sales agents"
9130,59,0.001515,Driver/sales workers and truck drivers
3400,59,1.3e-4,Emergency medical technicians and paramedics
4460,59,4e-6,Funeral service workers 
3740,59,1.54e-4,Fire fighters
1320,59,4.2e-5,Aerospace engineers
4110,59,0.001002,Waiters and waitresses
4020,59,7.84e-4,Cooks
4050,59,1.44e-4,"Combined food preparation and serving workers, including fast food"
0110,59,1.73e-4,Computer and information systems managers
7010,59,8e-5,"Computer, automated teller, and office machine repairers"
0020,59,3.47e-4,General and operations managers
6200,59,2.89e-4,First-line supervisors/managers of construction trades and extraction workers
1360,59,2.21e-4,Civil engineers
3300,59,1.26e-4,Clinical laboratory technologists and technicians
0230,59,3.66e-4,Education administrators
5410,59,8.8e-5,Reservation and transportation ticket agents and travel clerks
5840,59,1.12e-4,Insurance claims and policy processing clerks
3930,59,5.35e-4,Security guards and gaming surveillance officers
0410,59,3.35e-4,"Property, real estate, and community association managers"
4220,59,8.77e-4,Janitors and building cleaners
4710,59,5.96e-4,First-line supervisors/managers of non-retail sales workers
4000,59,2.45e-4,Chefs and head cooks
1050,59,2.03e-4,Computer support specialists
6260,59,0.001085,Construction laborers
4230,59,8.98e-4,Maids and housekeeping cleaners
1530,59,1.57e-4,"Engineers, all other"
4810,59,3.19e-4,Insurance sales agents
3655,59,7.5e-5,"Miscellaneous healthcare support occupations, including medical equipment preparers"
2540,59,2.29e-4,Teacher assistants
1550,59,1.35e-4,"Engineering technicians, except drafters"
5400,59,5.79e-4,Receptionists and information clerks
2100,59,4.68e-4,"Lawyers, Judges, magistrates, and other judicial workers"
5350,59,3.1e-5,Order clerks
5100,59,5.2e-5,Bill and account collectors
4240,59,6.3e-5,Pest control workers
2320,59,2.99e-4,Secondary school teachers
4760,59,0.001654,Retail salespersons
2310,59,0.001478,Elementary and middle school teachers
0840,59,8e-5,Financial analysts
7850,59,5e-6,Food cooking machine operators and tenders
4150,59,1.1e-4,"Hosts and hostesses, restaurant, lounge, and coffee shop"
5810,59,1.34e-4,Data entry keyers
7200,59,4.72e-4,Automotive service technicians and mechanics
5110,59,2.26e-4,Billing and posting clerks and machine operators
6520,59,4e-5,Sheet metal workers
4130,59,1.48e-4,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers"
4740,59,6.8e-5,Counter and rental clerks
0010,59,8.06e-4,Chief executives
2760,59,3.1e-5,"Entertainers and performers, sports and related workers, all other"
7210,59,1.59e-4,Bus and truck mechanics and diesel engine specialists
3645,59,2.46e-4,Medical assistants
1020,59,4.19e-4,"Software developers, applications and systems software"
4920,59,7.65e-4,Real estate brokers and sales agents
7630,59,1.45e-4,"Other installation, maintenance, and repair workers"
5000,59,6.01e-4,First-line supervisors/managers of office and administrative support workers
6355,59,4.54e-4,Electricians
9600,59,1.64e-4,Industrial truck and tractor operators
4250,59,6.34e-4,Grounds maintenance workers
4320,59,1.11e-4,First-line supervisors/managers of personal service workers
3910,59,5.5e-5,Private detectives and investigators
2850,59,9.5e-5,Writers and authors
0735,59,9.8e-5,Market research analysts and marketing specialists
1220,59,2.1e-5,Operations research analysts
0800,59,6.69e-4,Accountants and auditors
2145,59,2.82e-4,Paralegals and legal assistants
1006,59,2.23e-4,Computer systems analysts
8300,59,7.3e-5,Laundry and dry-cleaning workers
6230,59,5.6e-4,Carpenters
2630,59,3.25e-4,Designers
8310,59,2e-5,"Pressers, textile, garment, and related materials"
6100,59,4e-5,Fishers and related fishing workers
3310,59,4.9e-5,Dental hygienists
4030,59,3.96e-4,Food preparation workers
4210,59,1.54e-4,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
0530,59,5.9e-5,"Purchasing agents, except wholesale, retail, and farm products"
5520,59,1.1e-4,Dispatchers
2840,59,9e-6,Technical writers
6240,59,8.6e-5,"Carpet, floor, and tile installers and finishers"
2010,59,2.06e-4,Social workers
3500,59,2.98e-4,Licensed practical and licensed vocational nurses
0830,59,3e-6,Credit analysts
5260,59,6.8e-5,File clerks
4200,59,2.33e-4,First-line supervisors/managers of housekeeping and janitorial workers
1560,59,2.4e-5,Surveying and mapping technicians
0160,59,9e-5,"Transportation, storage, and distribution managers"
9620,59,7.16e-4,"Laborers and freight, stock, and material movers, hand"
0120,59,4.03e-4,Financial managers
7830,59,5e-6,"Food and tobacco roasting, baking, and drying machine operators and tenders"
9030,59,9.6e-5,Aircraft pilots and flight engineers
2550,59,5.5e-5,"Other education, training, and library workers"
5300,59,7.6e-5,"Hotel, motel, and resort desk clerks"
0050,59,4.24e-4,Marketing and sales managers
3320,59,1.67e-4,Diagnostic related technologists and technicians
0205,59,1.72e-4,"Farmers, Ranchers, and Other Agricultural Managers"
5510,59,1.85e-4,Couriers and messengers
4060,59,4.1e-5,"Counter attendants, cafeteria, food concession, and coffee shop"
0100,59,6.9e-5,Administrative services managers
4800,59,1.18e-4,Advertising sales agents
0350,59,2.67e-4,Medical and health services managers
1820,59,9.2e-5,Psychologists
3510,59,5.5e-5,Medical records and health information technicians
2910,59,1.12e-4,Photographers
6220,59,3.3e-5,"Brickmasons, blockmasons, and stonemasons"
8920,59,1e-5,"Molders, shapers, and casters, except metal and plastic"
5610,59,1.67e-4,"Shipping, receiving, and traffic clerks"
6600,59,6.5e-5,"Helpers, construction trades"
8810,59,7.1e-5,Painting workers
3648,59,1.7e-5,Veterinary assistants and labratory animal caretakers
0850,59,2.23e-4,Personal financial advisors
9050,59,6.5e-5,Flight attendants
7240,59,1.9e-5,Small engine mechanics
9310,59,4.4e-5,Ship and boat captains and operators
3649,59,2e-5,Phlebotmists
9140,59,4.75e-4,Taxi drivers and chauffeurs
3060,59,4.84e-4,Physicians and surgeons
0420,59,9.1e-5,Social and community service managers
7420,59,9.6e-5,Telecommunications line installers and repairers
0136,59,1.2e-4,Human Resources Managers
2920,59,2.2e-5,"Television, video, and motion picture camera operators and editors"
3000,59,1.5e-5,Chiropractors
1440,59,1.6e-5,Marine engineers and naval architects
1107,59,2.56e-4,"Computer occupations, all other"
7340,59,2.56e-4,"Maintenance and repair workers, general"
3820,59,8.1e-5,Detectives and criminal investigators
3630,59,1.35e-4,Massage therapists
2825,59,4.4e-5,Public relations specialists
3640,59,1.39e-4,Dental assistants
5600,59,8.9e-5,"Production, planning and expediting clerks"
0600,59,2.9e-5,Cost estimators
1106,59,4.1e-5,Computer network architects
4430,59,1.69e-4,Miscellaneous entertainment attendants and related workers
9000,59,7.5e-5,"Supervisors, transportation and material moving workers"
4140,59,1.34e-4,Dishwashers
6515,59,1.14e-4,Roofers
1200,59,1.7e-5,Actuaries
3010,59,7.2e-5,Dentists
4520,59,2.73e-4,Miscellaneous personal appearance workers
5420,59,6.8e-5,"Information and record clerks, all other"
5120,59,4.54e-4,"Bookkeeping, accounting, and auditing clerks"
2040,59,2.18e-4,Clergy
6250,59,3.1e-5,"Cement masons, concrete finishers, and terrazzo workers"
3800,59,2.03e-4,"Bailiffs, correctional officers, and jailers"
7330,59,8.7e-5,Industrial and refractory machinery mechanics
0500,59,2.5e-5,"Agents and business managers of artists, performers, and athletes"
8220,59,2.4e-5,"Metalworkers and plastic workers,all others"
0910,59,1.17e-4,Loan counselors and officers
1760,59,5e-5,"Physical scientists, all other"
0137,59,8e-6,Training and Development Managers
4510,59,3.74e-4,"Hairdressers, hairstylists, and cosmetologists"
2720,59,1.02e-4,"Athletes, coaches, umpires, and related workers"
2800,59,1.8e-5,Announcers
9630,59,1.2e-5,Machine feeders and offbearers
9120,59,1.53e-4,Bus drivers
8610,59,1.9e-5,Stationary engineers and boiler operators
0726,59,2.5e-5,Fundraisers
1650,59,3.1e-5,Medical scientists
2810,59,2.2e-5,"News analysts, reporters, and correspondents"
0725,59,3.1e-5,"Meeting, convention, and event planners"
3540,59,3.2e-5,Other healthcare practitioners and technical occupations
6330,59,5.5e-5,"Drywall installers, ceiling tile installers, and tapers"
4610,59,2.94e-4,Personal and home care aides
7540,59,2.6e-5,Locksmiths and safe repairers
7720,59,4.2e-5,"Electrical, electronics, and electromechanical assemblers"
2430,59,3.7e-5,Librarians
0700,59,4e-5,Logisticians
0565,59,1.04e-4,Compliance officers
0930,59,1.4e-5,"Tax examiners, collectors, and revenue agents"
8255,59,3.4e-5,Printing machine operators
7315,59,2.82e-4,"Heating, air conditioning, and refrigeration mechanics and installers"
7040,59,2.3e-5,"Electric motor, power tool, and related repairers"
2740,59,2.2e-5,Dancers and choreographers
4950,59,8.2e-5,"Door-to-door sales workers, news and street vendors, and related workers"
6050,59,2.36e-4,Miscellaneous agricultural workers
7000,59,1.03e-4,"First-line supervisors/managers of mechanics, installers, and repairers"
4830,59,6.1e-5,Travel agents
4040,59,2.51e-4,Bartenders
0150,59,1.21e-4,Purchasing managers
3050,59,1.48e-4,Pharmacists
7810,59,9.8e-5,"Butchers and other meat, poultry, and fish processing workers"
1010,59,2.39e-4,Computer programmers
1610,59,2.7e-5,Biological scientists
3150,59,5.9e-5,Occupational therapists
0650,59,2.6e-5,Training and development specialists
5500,59,2.1e-5,Cargo and freight agents
0140,59,7.4e-5,Industrial production managers
5140,59,3e-5,Payroll and timekeeping clerks
5220,59,4.9e-5,"Court, municipal, and license clerks"
7020,59,8e-5,Radio and telecommunications equipment installers and repairers
4840,59,2.14e-4,"Sales representatives, services, all other"
3730,59,5.2e-5,"Supervisors, protective service workers, all other"
8740,59,1.88e-4,"Inspectors, testers, sorters, samplers, and weighers"
0300,59,2.3e-5,Engineering managers
1105,59,4.7e-5,Network and computer systems administrators
4540,59,2.7e-5,Tour and travel guides
7610,59,3e-6,"Helpers--installation, maintenance, and repair workers"
5900,59,1.1e-5,"Office machine operators, except computer"
8140,59,1.1e-4,"Welding, soldering, and brazing workers"
0810,59,3e-5,Appraisers and assessors of real estate
7840,59,1.3e-5,Food batchmakers
8800,59,5.1e-5,Packaging and filling machine operators and tenders
2400,59,8e-6,"Archivists, curators, and museum technicians"
1540,59,3e-5,Drafters
5920,59,4e-6,Statistical assistants
6530,59,1.8e-5,Solar Photovoltaic Installers
3160,59,1.27e-4,Physical therapists
3220,59,7e-5,Respiratory therapists
1460,59,3.1e-5,Mechanical engineers
7260,59,3.2e-5,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
4530,59,6e-5,"Baggage porters, bellhops, and concierges"
6400,59,2.8e-5,Insulation workers
7150,59,5.4e-5,Automotive body and related repairers
1965,59,4e-5,"Miscellaneous life, physical, and social science technicians"
1430,59,4.5e-5,"Industrial engineers, including health and safety"
7740,59,3e-6,Structural metal fabricators and fitters
1030,59,6.1e-5,Web developers
3520,59,2.6e-5,"Opticians, dispensing"
1060,59,1.4e-5,Database administrators
8620,59,6.6e-5,Water and liquid waste treatment plant and system operators
4940,59,6.9e-5,Telemarketers
0740,59,8.9e-5,"Business operations specialists, all other"
2710,59,7.2e-5,Producers and directors
6440,59,1.94e-4,"Pipelayers, plumbers, pipefitters, and steamfitters"
5800,59,1.7e-5,Computer operators
1410,59,1.02e-4,Electrical and electronics engineers
8350,59,3.1e-5,"Tailors, dressmakers, and sewers"
9350,59,6.9e-5,Parking lot attendants
6320,59,1.35e-4,Operating engineers and other construction equipment operators
6765,59,3.3e-5,Miscellaneous construction and related workers
6040,59,1.8e-5,"Graders and sorters, agricultural products"
4965,59,1.69e-4,"Sales and related workers, all other"
4350,59,1.42e-4,Nonfarm animal caretakers
7800,59,8.8e-5,Bakers
7130,59,2.8e-5,Security and fire alarm systems installers
8500,59,3.5e-5,Cabinetmakers and bench carpenters
5330,59,7.3e-5,Loan interviewers and clerks
2750,59,5.4e-5,"Musicians, singers, and related workers"
8320,59,4.6e-5,Sewing machine operators
3258,59,7.1e-5,Nurse practitioners
8460,59,6e-6,"Textile, apparel, and furnishings workers, all others"
5030,59,5e-6,"Communications equipment operators, all other"
2600,59,6.1e-5,Artists and related workers
8950,59,1.8e-5,Helpers--production workers
8710,59,8e-6,Cutting workers
6940,59,2e-6,Other extraction workers
2060,59,2.6e-5,"Religious workers, all other"
2016,59,5.5e-5,Social and human service assistants
2015,59,2.8e-5,Probation officers and correctional treatment specialists
1840,59,9e-6,Urban and regional planners
7140,59,1.01e-4,Aircraft mechanics and service technicians
5560,59,3.5e-5,"Postal service mail sorters, processors, and processing machine operators"
5320,59,1.8e-5,"Library assistants, clerical"
2330,59,4.7e-5,Special education teachers
6360,59,1.6e-5,Glaziers
3940,59,3.4e-5,Crossing guards
0640,59,1.5e-5,"Compensation, benefits, and job analysis specialists"
8630,59,1.6e-5,Miscellaneous plant and system operators
5160,59,9e-5,Tellers
3040,59,1.7e-5,Optometrists
9260,59,4e-6,"Subway, streetcar, and other rail transportation workers"
6820,59,1.8e-5,"Earth drillers, except oil and gas"
5850,59,2.8e-5,"Mail clerks and mail machine operators, except postal service"
8250,59,6e-6,Prepress technicians and workers
2050,59,3.8e-5,"Directors, religious activities and education"
9640,59,1.94e-4,"Packers and packagers, hand"
2160,59,5.1e-5,Miscellaneous legal support workers
5310,59,3e-5,"Interviewers, except eligibility and loan"
9420,59,1.1e-5,Other transportation workers
7510,59,1e-6,"Coin, vending, and amusement machine servicers and repairers"
5360,59,3.1e-5,"Human resources assistants, except payroll and timekeeping"
8750,59,9e-6,Jewelers and precious stone and metal workers
1740,59,3.9e-5,Environmental scientists and geoscientists
3110,59,4.9e-5,Physician assistants
5910,59,2e-6,Proofreaders and copy markers
8030,59,2.2e-5,Machinists
8100,59,4e-6,"Molders and molding machine setters, operators, and tenders, metal and plastic"
6720,59,5e-6,Hazardous materials removal workers
3840,59,8e-6,Parking enforcement workers
2830,59,3e-5,Editors
6005,59,2.7e-5,"First-line supervisors of farming, fishing, and forestry workers"
3250,59,2.3e-5,Veterinarians
5165,59,2.9e-5,"Financial clerks, all other"
7220,59,6.6e-5,Heavy vehicle and mobile equipment service technicians and mechanics
7320,59,2.3e-5,Home appliance repairers
3230,59,3.8e-5,Speech-language pathologists
4750,59,7.4e-5,Parts salespersons
8450,59,2e-5,Upholsterers
0430,58,8.59e-4,"Managers, all other"
4465,58,8e-6,"Morticians, undertakers, and funeral directors (2011 forward)"
7320,58,1.1e-5,Home appliance repairers
4760,58,6.37e-4,Retail salespersons
0010,58,2.9e-4,Chief executives
5700,58,4.45e-4,Secretaries and administrative assistants
4700,58,7.39e-4,First-line supervisors/managers of retail sales workers
3060,58,1.56e-4,Physicians and surgeons
0850,58,9.7e-5,Personal financial advisors
0050,58,2.05e-4,Marketing and sales managers
4200,58,8.4e-5,First-line supervisors/managers of housekeeping and janitorial workers
2040,58,1.08e-4,Clergy
9130,58,8.98e-4,Driver/sales workers and truck drivers
0220,58,1.87e-4,Construction managers
0630,58,1.64e-4,Human resource workers
4610,58,1.49e-4,Personal and home care aides
2550,58,3.6e-5,"Other education, training, and library workers"
4060,58,3.6e-5,"Counter attendants, cafeteria, food concession, and coffee shop"
0120,58,2.17e-4,Financial managers
9050,58,4.5e-5,Flight attendants
2100,58,2.28e-4,"Lawyers, Judges, magistrates, and other judicial workers"
9030,58,4.4e-5,Aircraft pilots and flight engineers
0310,58,2.68e-4,Food service managers
6530,58,3e-6,Solar Photovoltaic Installers
0710,58,2.19e-4,Management analysts
5240,58,6.64e-4,Customer service representatives
6355,58,1.5e-4,Electricians
2600,58,4.1e-5,Artists and related workers
8965,58,3.21e-4,"Production workers, all other"
7330,58,1.16e-4,Industrial and refractory machinery mechanics
2310,58,8.6e-4,Elementary and middle school teachers
1020,58,2.92e-4,"Software developers, applications and systems software"
4600,58,2.2e-4,Child care workers
4430,58,4e-5,Miscellaneous entertainment attendants and related workers
8810,58,2e-5,Painting workers
3160,58,4.8e-5,Physical therapists
8255,58,2.2e-5,Printing machine operators
4220,58,4.41e-4,Janitors and building cleaners
5120,58,1.96e-4,"Bookkeeping, accounting, and auditing clerks"
3930,58,1.53e-4,Security guards and gaming surveillance officers
9610,58,6.4e-5,Cleaners of vehicles and equipment
7200,58,1.64e-4,Automotive service technicians and mechanics
1050,58,1.1e-4,Computer support specialists
1300,58,2.8e-5,"Architects, except naval"
1410,58,2.5e-5,Electrical and electronics engineers
4965,58,6.4e-5,"Sales and related workers, all other"
3255,58,5.33e-4,Registered nurses
1107,58,2.04e-4,"Computer occupations, all other"
4020,58,4.56e-4,Cooks
9000,58,4.9e-5,"Supervisors, transportation and material moving workers"
5000,58,2.84e-4,First-line supervisors/managers of office and administrative support workers
0150,58,7.2e-5,Purchasing managers
0410,58,1.56e-4,"Property, real estate, and community association managers"
9600,58,2.08e-4,Industrial truck and tractor operators
2010,58,1.13e-4,Social workers
2630,58,1.33e-4,Designers
3648,58,1.5e-5,Veterinary assistants and labratory animal caretakers
3910,58,1.5e-5,Private detectives and investigators
4920,58,2.39e-4,Real estate brokers and sales agents
9120,58,9.8e-5,Bus drivers
4810,58,1.66e-4,Insurance sales agents
0910,58,6.9e-5,Loan counselors and officers
3720,58,5e-6,First-line supervisors/managers of fire fighting and preventions workers
7315,58,1.1e-4,"Heating, air conditioning, and refrigeration mechanics and installers"
4230,58,2.11e-4,Maids and housekeeping cleaners
0800,58,3.36e-4,Accountants and auditors
9620,58,4.47e-4,"Laborers and freight, stock, and material movers, hand"
1360,58,8.2e-5,Civil engineers
7340,58,1.51e-4,"Maintenance and repair workers, general"
7850,58,3e-6,Food cooking machine operators and tenders
2540,58,1.21e-4,Teacher assistants
4000,58,1.06e-4,Chefs and head cooks
4840,58,1.66e-4,"Sales representatives, services, all other"
4300,58,4.6e-5,First-line supervisors/managers of gaming workers
1420,58,4e-6,Environmental engineers
4720,58,8.03e-4,Cashiers
5140,58,8e-6,Payroll and timekeeping clerks
2760,58,4.3e-5,"Entertainers and performers, sports and related workers, all other"
7800,58,5.3e-5,Bakers
0840,58,3.9e-5,Financial analysts
0530,58,6.8e-5,"Purchasing agents, except wholesale, retail, and farm products"
7420,58,3.2e-5,Telecommunications line installers and repairers
6260,58,4.99e-4,Construction laborers
4140,58,2.5e-5,Dishwashers
3655,58,3e-5,"Miscellaneous healthcare support occupations, including medical equipment preparers"
9140,58,2.08e-4,Taxi drivers and chauffeurs
4030,58,1.91e-4,Food preparation workers
0900,58,2e-6,Financial examiners
1030,58,4.7e-5,Web developers
4800,58,4.1e-5,Advertising sales agents
0520,58,4.8e-5,"Wholesale and retail buyers, except farm products"
1610,58,1.1e-5,Biological scientists
4710,58,2.88e-4,First-line supervisors/managers of non-retail sales workers
3600,58,3.02e-4,"Nursing, psychiatric, and home health aides"
5400,58,2.7e-4,Receptionists and information clerks
2740,58,5e-6,Dancers and choreographers
5810,58,6.2e-5,Data entry keyers
9360,58,1.4e-5,Service station attendants
6230,58,2.57e-4,Carpenters
3110,58,3.8e-5,Physician assistants
7000,58,5.3e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
4510,58,2.09e-4,"Hairdressers, hairstylists, and cosmetologists"
3645,58,1.15e-4,Medical assistants
5010,58,4e-6,"Switchboard operators, including answering service"
7210,58,5.9e-5,Bus and truck mechanics and diesel engine specialists
4120,58,3e-5,"Food servers, nonrestaurant"
9200,58,2e-6,Locomotive engineers and operators
0020,58,1.51e-4,General and operations managers
2330,58,6.4e-5,Special education teachers
4130,58,3.5e-5,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers"
6440,58,9.5e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
3300,58,4.1e-5,Clinical laboratory technologists and technicians
5620,58,3.81e-4,Stock clerks and order fillers
6515,58,4.9e-5,Roofers
4740,58,3.4e-5,Counter and rental clerks
6400,58,1.8e-5,Insulation workers
4520,58,1.34e-4,Miscellaneous personal appearance workers
6200,58,1.25e-4,First-line supervisors/managers of construction trades and extraction workers
2750,58,6.6e-5,"Musicians, singers, and related workers"
4210,58,6.9e-5,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
5100,58,2.6e-5,Bill and account collectors
2200,58,1.85e-4,Postsecondary teachers
4530,58,1.7e-5,"Baggage porters, bellhops, and concierges"
4850,58,2.42e-4,"Sales representatives, wholesale and manufacturing"
3420,58,1.43e-4,Health practitioner support technologists and technicians 
5860,58,2.92e-4,"Office clerks, general"
1006,58,1.69e-4,Computer systems analysts
2300,58,1.87e-4,Preschool and kindergarten teachers
6420,58,1.3e-4,"Painters, construction and maintenance"
2910,58,3.4e-5,Photographers
0136,58,8.4e-5,Human Resources Managers
4040,58,3.7e-5,Bartenders
1450,58,3e-6,Materials engineers
6520,58,1.6e-5,Sheet metal workers
1460,58,5.3e-5,Mechanical engineers
0735,58,7.7e-5,Market research analysts and marketing specialists
6330,58,5.7e-5,"Drywall installers, ceiling tile installers, and tapers"
7840,58,1e-5,Food batchmakers
1105,58,5.8e-5,Network and computer systems administrators
3500,58,1.76e-4,Licensed practical and licensed vocational nurses
3800,58,7e-5,"Bailiffs, correctional officers, and jailers"
3220,58,5e-6,Respiratory therapists
2810,58,1.7e-5,"News analysts, reporters, and correspondents"
1550,58,1.12e-4,"Engineering technicians, except drafters"
4900,58,1.1e-5,"Models, demonstrators, and product promoters"
1010,58,7.4e-5,Computer programmers
4150,58,6.3e-5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
8410,58,5e-6,"Textile knitting and weaving machine setters, operators, and tenders"
0110,58,1.38e-4,Computer and information systems managers
3310,58,2.3e-5,Dental hygienists
3510,58,5.5e-5,Medical records and health information technicians
5230,58,5e-6,"Credit authorizers, checkers, and clerks"
5160,58,2.6e-5,Tellers
3740,58,6.9e-5,Fire fighters
7140,58,5.6e-5,Aircraft mechanics and service technicians
8740,58,1.08e-4,"Inspectors, testers, sorters, samplers, and weighers"
3050,58,4.8e-5,Pharmacists
8140,58,1.6e-4,"Welding, soldering, and brazing workers"
2320,58,2.28e-4,Secondary school teachers
2145,58,8.7e-5,Paralegals and legal assistants
5940,58,1.15e-4,"Office and administrative support workers, all other"
7010,58,4.6e-5,"Computer, automated teller, and office machine repairers"
6240,58,2.7e-5,"Carpet, floor, and tile installers and finishers"
2720,58,6.1e-5,"Athletes, coaches, umpires, and related workers"
4620,58,5.7e-5,Recreation and fitness workers
4250,58,2.34e-4,Grounds maintenance workers
4110,58,3.69e-4,Waiters and waitresses
7540,58,5e-6,Locksmiths and safe repairers
0700,58,3.7e-5,Logisticians
9040,58,3.7e-5,Air traffic controllers and airfield operations specialists
3540,58,4.3e-5,Other healthcare practitioners and technical occupations
3258,58,5.2e-5,Nurse practitioners
3040,58,1.5e-5,Optometrists
3955,58,2.1e-5,"Lifeguards and other recreational, and all other protective service workers"
7020,58,4.2e-5,Radio and telecommunications equipment installers and repairers
5110,58,1.16e-4,Billing and posting clerks and machine operators
4830,58,4.2e-5,Travel agents
5250,58,2e-5,"Eligibility interviewers, government programs"
9750,58,3.8e-5,"Material moving workers, all other"
5920,58,6e-6,Statistical assistants
3245,58,6.5e-5,"Therapists, all other"
4010,58,1.22e-4,First-line supervisors/managers of food preparation and serving workers
4240,58,3.5e-5,Pest control workers
2000,58,1.65e-4,Counselors
2340,58,2.16e-4,Other teachers and instructors
7750,58,1.92e-4,Miscellaneous assemblers and fabricators
5800,58,2.5e-5,Computer operators
0565,58,7.2e-5,Compliance officers
7700,58,2.32e-4,First-line supervisors/managers of production and operating workers
0940,58,1.7e-5,Tax preparers
5820,58,1.7e-5,Word processors and typists
0300,58,3e-5,Engineering managers
0540,58,5.9e-5,"Claims adjusters, appraisers, examiners, and investigators"
6320,58,9e-5,Operating engineers and other construction equipment operators
9640,58,1.14e-4,"Packers and packagers, hand"
8510,58,8e-6,Furniture finishers
3850,58,1.74e-4,Police and sheriff's patrol officers
2840,58,1.3e-5,Technical writers
0205,58,1.79e-4,"Farmers, Ranchers, and Other Agricultural Managers"
2900,58,5.4e-5,Broadcast and sound engineering technicians and radio operators
1220,58,2.7e-5,Operations research analysts
0140,58,6.7e-5,Industrial production managers
5600,58,5.2e-5,"Production, planning and expediting clerks"
0740,58,5.7e-5,"Business operations specialists, all other"
1530,58,7.6e-5,"Engineers, all other"
0860,58,6.1e-5,Insurance underwriters
5300,58,1.4e-5,"Hotel, motel, and resort desk clerks"
0420,58,5e-5,Social and community service managers
4750,58,3.9e-5,Parts salespersons
5840,58,4.9e-5,Insurance claims and policy processing clerks
8030,58,5.4e-5,Machinists
1240,58,2.4e-5,Miscellaneous mathematical science occupations
0350,58,8.7e-5,Medical and health services managers
1740,58,1.7e-5,Environmental scientists and geoscientists
5260,58,4.2e-5,File clerks
5520,58,4.2e-5,Dispatchers
3150,58,2.4e-5,Occupational therapists
6040,58,2.4e-5,"Graders and sorters, agricultural products"
7855,58,7e-5,"Food processing workers, all other"
8800,58,9.3e-5,Packaging and filling machine operators and tenders
4050,58,8e-5,"Combined food preparation and serving workers, including fast food"
1060,58,1.4e-5,Database administrators
5320,58,1e-5,"Library assistants, clerical"
0230,58,1.53e-4,Education administrators
0100,58,4e-5,Administrative services managers
0820,58,7e-6,Budget analysts
3010,58,3.2e-5,Dentists
3710,58,2e-5,First-line supervisors/managers of police and detectives
0810,58,2.1e-5,Appraisers and assessors of real estate
8300,58,2.7e-5,Laundry and dry-cleaning workers
1350,58,1.4e-5,Chemical engineers
8640,58,1.1e-5,"Chemical processing machine setters, operators, and tenders"
1320,58,2.7e-5,Aerospace engineers
7430,58,5e-6,Precision instrument and equipment repairers
7300,58,5e-6,Control and valve installers and repairers
5165,58,9e-6,"Financial clerks, all other"
0725,58,2.6e-5,"Meeting, convention, and event planners"
3400,58,4.1e-5,Emergency medical technicians and paramedics
1920,58,2e-6,Chemical technicians
5420,58,1.9e-5,"Information and record clerks, all other"
2016,58,4.4e-5,Social and human service assistants
7810,58,5.7e-5,"Butchers and other meat, poultry, and fish processing workers"
2825,58,1.9e-5,Public relations specialists
5630,58,9e-6,"Weighers, measurers, checkers, and samplers, record keeping"
7220,58,2.1e-5,Heavy vehicle and mobile equipment service technicians and mechanics
6050,58,1.48e-4,Miscellaneous agricultural workers
2430,58,2.1e-5,Librarians
4540,58,2.6e-5,Tour and travel guides
8630,58,2e-6,Miscellaneous plant and system operators
7260,58,2.4e-5,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7410,58,2.7e-5,Electrical power-line installers and repairers
8610,58,3.2e-5,Stationary engineers and boiler operators
8320,58,5.2e-5,Sewing machine operators
7830,58,4e-6,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7040,58,7e-6,"Electric motor, power tool, and related repairers"
3640,58,8.2e-5,Dental assistants
6130,58,1.6e-5,Logging workers
8350,58,1.1e-5,"Tailors, dressmakers, and sewers"
6660,58,1.3e-5,Construction and building inspectors
6220,58,3e-6,"Brickmasons, blockmasons, and stonemasons"
7720,58,1.5e-5,"Electrical, electronics, and electromechanical assemblers"
8850,58,4e-6,Cementing and gluing machine operators and tenders
5610,58,9.7e-5,"Shipping, receiving, and traffic clerks"
7130,58,1.1e-5,Security and fire alarm systems installers
0060,58,1.7e-5,Public relations managers
1760,58,3.5e-5,"Physical scientists, all other"
1430,58,2.7e-5,"Industrial engineers, including health and safety"
8720,58,7e-6,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
7150,58,2.2e-5,Automotive body and related repairers
8710,58,3.1e-5,Cutting workers
8460,58,2.2e-5,"Textile, apparel, and furnishings workers, all others"
3230,58,3.4e-5,Speech-language pathologists
5550,58,4e-5,Postal service mail carriers
4350,58,6.1e-5,Nonfarm animal caretakers
0600,58,4e-5,Cost estimators
1220,95,5e-6,Operations research analysts
4010,95,2.3e-5,First-line supervisors/managers of food preparation and serving workers
