occ,statecensus,Fraction of Workforce,description
2050,63,3e-6,"Directors, religious activities and education"
0910,63,4.2e-5,Loan counselors and officers
0230,63,5.9e-5,Education administrators
1560,63,3e-6,Surveying and mapping technicians
3310,63,3e-5,Dental hygienists
7330,63,7.2e-5,Industrial and refractory machinery mechanics
3256,63,4e-6,Nurse anesthetists
3050,63,5.4e-5,Pharmacists
0205,63,1.14e-4,"Farmers, Ranchers, and Other Agricultural Managers"
4250,63,1.36e-4,Grounds maintenance workers
8965,63,1.38e-4,"Production workers, all other"
3510,63,1e-5,Medical records and health information technicians
7700,63,1.13e-4,First-line supervisors/managers of production and operating workers
2300,63,7e-5,Preschool and kindergarten teachers
0820,63,6e-6,Budget analysts
6440,63,5.8e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
4050,63,4.6e-5,"Combined food preparation and serving workers, including fast food"
4240,63,2e-5,Pest control workers
3160,63,3.4e-5,Physical therapists
2630,63,6.6e-5,Designers
0220,63,8e-5,Construction managers
1105,63,1.3e-5,Network and computer systems administrators
7315,63,3.4e-5,"Heating, air conditioning, and refrigeration mechanics and installers"
3800,63,3.7e-5,"Bailiffs, correctional officers, and jailers"
7630,63,1.6e-5,"Other installation, maintenance, and repair workers"
4300,63,1.2e-5,First-line supervisors/managers of gaming workers
1310,63,6e-6,"Surveyors, cartographers, and photogrammetrists"
8810,63,4.5e-5,Painting workers
8500,63,1.6e-5,Cabinetmakers and bench carpenters
1350,63,1.2e-5,Chemical engineers
0160,63,3e-5,"Transportation, storage, and distribution managers"
8620,63,1.2e-5,Water and liquid waste treatment plant and system operators
0950,63,4e-6,"Financial specialists, all other"
7420,63,2.2e-5,Telecommunications line installers and repairers
6220,63,1.3e-5,"Brickmasons, blockmasons, and stonemasons"
4650,63,2e-5,"Personal care and service workers, all other"
2010,63,5e-5,Social workers
6050,63,4e-5,Miscellaneous agricultural workers
0300,63,8e-6,Engineering managers
8800,63,1.8e-5,Packaging and filling machine operators and tenders
0110,63,3.4e-5,Computer and information systems managers
2910,63,3.3e-5,Photographers
6515,63,2.4e-5,Roofers
4800,63,1.1e-5,Advertising sales agents
3740,63,3.4e-5,Fire fighters
4000,63,1.2e-5,Chefs and head cooks
9350,63,1e-5,Parking lot attendants
0565,63,1.7e-5,Compliance officers
4520,63,3.2e-5,Miscellaneous personal appearance workers
5600,63,1.9e-5,"Production, planning and expediting clerks"
8220,63,6.2e-5,"Metalworkers and plastic workers,all others"
6200,63,4e-5,First-line supervisors/managers of construction trades and extraction workers
1060,63,6e-6,Database administrators
5400,63,1.59e-4,Receptionists and information clerks
2060,63,1.1e-5,"Religious workers, all other"
6330,63,8e-6,"Drywall installers, ceiling tile installers, and tapers"
2550,63,6e-6,"Other education, training, and library workers"
0137,63,2e-6,Training and Development Managers
7220,63,2.1e-5,Heavy vehicle and mobile equipment service technicians and mechanics
9030,63,1.7e-5,Aircraft pilots and flight engineers
5630,63,1.3e-5,"Weighers, measurers, checkers, and samplers, record keeping"
7410,63,2.6e-5,Electrical power-line installers and repairers
6660,63,7e-6,Construction and building inspectors
5310,63,7e-6,"Interviewers, except eligibility and loan"
1410,63,2e-5,Electrical and electronics engineers
1760,63,2.1e-5,"Physical scientists, all other"
1220,63,2.6e-5,Operations research analysts
1965,63,1.9e-5,"Miscellaneous life, physical, and social science technicians"
1450,63,3e-6,Materials engineers
2830,63,8e-6,Editors
5610,63,3.9e-5,"Shipping, receiving, and traffic clerks"
8730,63,1e-6,"Furnace, kiln, oven, drier, and kettle operators and tenders"
7150,63,1e-5,Automotive body and related repairers
1240,63,3e-6,Miscellaneous mathematical science occupations
7855,63,2.8e-5,"Food processing workers, all other"
5940,63,4.8e-5,"Office and administrative support workers, all other"
5160,63,4.1e-5,Tellers
8510,63,1e-6,Furniture finishers
7240,63,3e-6,Small engine mechanics
4750,63,2.3e-5,Parts salespersons
1106,63,4e-6,Computer network architects
3700,63,6e-6,First-line supervisors/managers of correctional officers
2015,63,1e-5,Probation officers and correctional treatment specialists
6005,63,1.9e-5,"First-line supervisors of farming, fishing, and forestry workers"
3000,63,8e-6,Chiropractors
5010,63,0,"Switchboard operators, including answering service"
8100,63,6e-6,"Molders and molding machine setters, operators, and tenders, metal and plastic"
4150,63,3.4e-5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
7900,63,1.5e-5,Computer control programmers and operators
7950,63,1e-5,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
0140,63,2.3e-5,Industrial production managers
1820,63,6e-6,Psychologists
4465,63,2e-6,"Morticians, undertakers, and funeral directors (2011 forward)"
0100,63,1.3e-5,Administrative services managers
4010,63,3.3e-5,First-line supervisors/managers of food preparation and serving workers
2400,63,1.2e-5,"Archivists, curators, and museum technicians"
2016,63,1.6e-5,Social and human service assistants
3110,63,8e-6,Physician assistants
2720,63,2.5e-5,"Athletes, coaches, umpires, and related workers"
0726,63,8e-6,Fundraisers
3230,63,1.3e-5,Speech-language pathologists
3030,63,1.8e-5,Dietitians and nutritionists
6320,63,5.1e-5,Operating engineers and other construction equipment operators
3645,63,3e-5,Medical assistants
8650,63,5e-6,"Crushing, grinding, polishing, mixing, and blending workers"
6300,63,3e-6,"Paving, surfacing, and tamping equipment operators"
8460,63,6e-6,"Textile, apparel, and furnishings workers, all others"
8610,63,6e-6,Stationary engineers and boiler operators
7920,63,1e-6,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
7360,63,8e-6,Millwrights
9240,63,1.2e-5,Railroad conductors and yardmasters
7130,63,1e-5,Security and fire alarm systems installers
5350,63,4e-6,Order clerks
5520,63,1.6e-5,Dispatchers
7710,63,0,"Aircraft structure, surfaces, rigging, and systems assemblers"
5820,63,3e-6,Word processors and typists
6100,63,2e-6,Fishers and related fishing workers
8760,63,8e-6,"Medical, dental, and ophthalmic laboratory technicians"
8750,63,3e-6,Jewelers and precious stone and metal workers
7010,63,1.5e-5,"Computer, automated teller, and office machine repairers"
7030,63,2e-6,Avionics technicians
8950,63,1.2e-5,Helpers--production workers
6600,63,1.2e-5,"Helpers, construction trades"
6940,63,3e-6,Other extraction workers
6240,63,1.7e-5,"Carpet, floor, and tile installers and finishers"
0930,63,1e-6,"Tax examiners, collectors, and revenue agents"
3610,63,2e-6,Occupational therapist assistants and aides
0735,63,1.6e-5,Market research analysts and marketing specialists
6250,63,8e-6,"Cement masons, concrete finishers, and terrazzo workers"
4420,63,3e-6,"Ushers, lobby attendants, and ticket takers"
3600,94,3.6e-5,"Nursing, psychiatric, and home health aides"
7950,94,0,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
0120,94,1.7e-5,Financial managers
0310,94,1.7e-5,Food service managers
4610,94,2.2e-5,Personal and home care aides
4220,94,5e-5,Janitors and building cleaners
5520,94,3e-6,Dispatchers
0230,94,1.1e-5,Education administrators
9650,94,1e-6,Pumping station operators
2910,94,4e-6,Photographers
2330,94,7e-6,Special education teachers
9720,94,1e-6,Refuse and recyclable material collectors
0800,94,2.7e-5,Accountants and auditors
8255,94,1e-6,Printing machine operators
4120,94,3e-6,"Food servers, nonrestaurant"
5860,94,2.5e-5,"Office clerks, general"
9030,94,1e-5,Aircraft pilots and flight engineers
8610,94,5e-6,Stationary engineers and boiler operators
4710,94,1.3e-5,First-line supervisors/managers of non-retail sales workers
3050,94,1e-5,Pharmacists
6420,94,7e-6,"Painters, construction and maintenance"
8750,94,1e-6,Jewelers and precious stone and metal workers
0740,94,4e-6,"Business operations specialists, all other"
4510,94,8e-6,"Hairdressers, hairstylists, and cosmetologists"
0530,94,5e-6,"Purchasing agents, except wholesale, retail, and farm products"
3630,94,7e-6,Massage therapists
2340,94,1.2e-5,Other teachers and instructors
1006,94,2e-6,Computer systems analysts
0430,94,7.7e-5,"Managers, all other"
3255,94,4.4e-5,Registered nurses
9140,94,1e-5,Taxi drivers and chauffeurs
5610,94,4e-6,"Shipping, receiving, and traffic clerks"
5400,94,1.9e-5,Receptionists and information clerks
7740,94,0,Structural metal fabricators and fitters
4700,94,5.4e-5,First-line supervisors/managers of retail sales workers
4020,94,2.9e-5,Cooks
1360,94,1.2e-5,Civil engineers
5420,94,2e-6,"Information and record clerks, all other"
9620,94,3.4e-5,"Laborers and freight, stock, and material movers, hand"
7340,94,1.5e-5,"Maintenance and repair workers, general"
6440,94,1e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
5240,94,3e-5,Customer service representatives
4230,94,1.3e-5,Maids and housekeeping cleaners
9040,94,3e-6,Air traffic controllers and airfield operations specialists
